#{"t_start": 1744231185.634812, "env_id": "Humanoid-v5"}
r,l,t
112.52165,25,20.617061
111.30104,27,20.708428
97.146576,25,20.768294
98.552413,23,20.823555
95.470624,24,20.886651
106.913953,27,20.95661
91.611181,24,21.022234
84.302422,21,21.080639
91.131697,23,21.140524
77.120762,21,21.197881
102.9631,24,21.258371
70.486995,17,21.299461
105.671416,26,21.362703
106.342713,26,21.42812
115.950966,27,21.494756
123.836522,31,21.574937
90.582653,23,21.632157
93.109947,23,21.697512
92.571347,22,21.752077
87.12518,23,21.807777
82.509123,22,21.860204
98.772259,25,21.922331
130.149525,31,21.99816
100.237687,26,22.068475
137.187022,32,22.142896
103.083174,25,22.206551
145.051793,30,22.28704
140.562084,31,22.377825
73.38854,20,22.426759
120.32417,27,22.491929
91.80774,25,22.553633
112.460586,27,22.62258
125.787039,29,22.69174
156.962477,35,22.777606
119.302726,28,22.84685
84.630664,21,22.898861
79.922349,21,22.95039
118.20679,29,23.021099
116.884576,27,23.091844
131.154058,29,23.168376
161.086928,35,23.262245
82.525984,21,23.314298
85.692318,21,23.368249
64.052039,15,23.412144
93.100265,24,23.477031
142.576301,31,23.554098
134.955781,30,23.63411
127.014964,31,23.713465
83.27913,23,23.769991
111.944363,26,23.831581
83.892792,21,23.883149
104.720609,24,23.947951
100.602479,25,24.009727
72.323835,18,24.053735
75.581603,19,24.099914
65.382735,18,24.144654
114.230007,28,24.227877
101.048114,26,24.294786
68.618368,17,24.337571
67.487168,17,24.387494
85.546065,21,24.440067
107.312356,27,24.511663
122.747038,28,24.58282
91.723895,24,24.643625
93.889998,23,24.702323
124.127597,29,24.774271
125.328042,30,24.849207
95.769655,23,24.906164
80.874219,20,24.957839
84.797027,21,25.007742
92.757813,23,25.063977
139.282374,32,25.15474
83.075297,21,25.206237
83.945404,21,25.265294
100.95321,24,25.324185
73.827823,19,25.371093
132.648447,32,25.450126
75.904221,20,25.500961
108.425509,26,25.56499
128.657176,28,25.633961
102.794024,25,25.701085
131.912601,30,25.779135
125.033527,29,25.850072
97.829125,25,25.939162
121.467868,28,26.005758
118.413594,26,26.06931
60.150928,14,26.102244
64.463315,16,26.140456
75.076651,19,26.186473
76.224043,21,26.236308
126.58835,28,26.306225
123.572729,29,26.378282
89.833879,22,26.436733
66.069939,15,26.47794
74.82234,19,26.52656
63.078452,15,26.565314
66.65575,17,26.606751
89.897302,23,26.662452
85.292973,22,26.715605
60.240596,14,26.7493
112.707159,27,26.815645
65.871599,17,26.860575
73.258891,18,26.904146
62.308632,16,26.942641
123.560962,29,27.014062
133.932787,29,27.084116
82.17441,20,27.132964
60.534877,16,27.176791
97.834879,24,27.234702
133.704913,29,27.305027
74.183857,19,27.350724
64.046792,16,27.39814
79.269909,21,27.451157
135.695031,31,27.530944
126.004117,28,27.605891
81.939819,22,27.659868
84.583105,22,27.717911
70.279889,18,27.764515
75.216884,19,27.812674
69.83392,18,27.85676
64.052235,18,27.904149
65.30119,16,27.940119
72.517389,20,27.989261
67.060528,17,28.030263
61.029909,14,28.063575
71.722076,19,28.112859
60.234307,16,28.152314
80.459785,21,28.203459
87.03803,22,28.25955
105.702157,26,28.324825
74.460625,19,28.371522
78.822278,20,28.420976
62.79951,15,28.459527
86.829869,21,28.509397
94.624222,23,28.570981
101.271908,25,28.636244
80.173663,22,28.690159
80.016373,20,28.742111
94.711257,23,28.805561
64.667481,16,28.844354
89.559067,22,28.897703
65.607578,17,28.938132
77.04356,19,28.98671
67.381628,18,29.032655
86.879942,22,29.087232
94.323541,23,29.143695
66.965699,18,29.186958
86.770916,21,29.238298
98.684325,25,29.298657
88.204502,22,29.352301
75.056593,20,29.401328
73.011412,18,29.445882
69.303762,17,29.486665
78.544997,20,29.537915
111.736219,27,29.603879
89.600028,23,29.660831
110.886136,26,29.724731
77.192297,21,29.77684
105.753692,26,29.842529
92.112062,23,29.899664
104.976851,26,29.963891
107.791554,26,30.031528
117.846232,29,30.101004
138.200989,31,30.176312
86.113269,21,30.225981
68.461116,17,30.266291
65.462274,17,30.308051
71.567343,18,30.351704
59.006297,14,30.386081
129.13725,30,30.473845
80.6556,20,30.525285
60.742406,14,30.563106
76.106256,19,30.613644
116.689246,29,30.689037
63.097273,15,30.727829
65.385041,16,30.767525
79.554995,20,30.822871
93.414007,24,30.881262
75.718385,20,30.929299
101.724734,25,30.990309
63.482198,17,31.033974
60.568214,14,31.102404
56.444403,14,31.136001
81.883559,21,31.187524
74.468395,19,31.234103
64.399619,16,31.275553
61.568651,15,31.312219
80.721912,20,31.361062
60.695066,15,31.396409
100.430694,25,31.455865
64.440772,15,31.491973
68.595126,17,31.532307
64.217834,16,31.57041
68.355732,18,31.619541
80.343644,21,31.6734
113.346278,26,31.740929
66.962662,18,31.787198
60.04545,14,31.822853
63.607846,15,31.860787
63.833458,15,31.897369
93.312263,24,31.95676
71.756527,19,32.003956
57.991352,14,32.038574
64.250927,16,32.089574
80.877258,20,32.146299
65.681715,17,32.189052
61.333807,14,32.223262
76.960577,19,32.270328
60.118005,14,32.304544
60.642494,14,32.338595
65.827384,18,32.382736
72.858833,18,32.426346
85.370365,22,32.479945
63.759669,17,32.52112
66.485579,17,32.56504
81.110798,22,32.624356
59.229472,14,32.659187
60.703696,15,32.699121
65.563776,16,32.738658
59.77485,15,32.775349
72.332988,18,32.818411
56.403311,13,32.853495
68.002032,17,32.896608
117.819705,27,32.966487
57.132022,14,33.00063
66.725553,17,33.040136
84.717971,22,33.097812
57.263176,14,33.13609
91.733045,24,33.198102
75.02551,18,33.243357
61.407241,14,33.27681
73.192016,18,33.320602
71.018495,18,33.363864
58.156212,15,33.404825
60.789112,14,33.445627
59.71012,15,33.4831
58.511565,14,33.515132
73.297186,20,33.565199
68.546771,18,33.613954
59.023622,15,33.65135
58.068338,15,33.68803
62.13572,16,33.730169
77.34238,19,33.777003
129.334268,29,33.858867
62.940696,17,33.902819
80.826316,20,33.954045
57.550401,15,33.992632
59.584438,14,34.030626
62.09392,17,34.071521
68.639386,18,34.116508
56.920902,14,34.15061
65.565558,16,34.188829
66.55918,18,34.23349
69.510036,18,34.278301
85.801657,20,34.327173
68.272616,17,34.367929
88.313171,21,34.418497
106.174032,26,34.482774
61.203051,16,34.521275
68.758014,19,34.568271
75.663283,19,34.613862
81.558942,22,34.668573
92.066849,22,34.722982
70.422433,18,34.766663
61.243414,15,34.805026
64.833114,17,34.844589
81.210753,21,34.895912
61.978931,15,34.932716
68.947966,17,34.975584
74.377863,19,35.022157
66.283265,17,35.063677
93.632758,23,35.12166
85.274856,21,35.173576
86.606439,21,35.225415
79.385117,20,35.276989
57.370977,14,35.310822
69.183025,18,35.356108
60.036784,15,35.390894
58.245225,15,35.427555
62.94068,17,35.468976
64.810871,17,35.510452
96.421194,23,35.566617
56.986704,15,35.603684
71.937271,18,35.647648
91.443657,23,35.711557
60.506806,15,35.747639
58.862872,15,35.783833
63.733947,16,35.825077
80.52745,22,35.880579
107.688267,27,35.943356
60.633651,14,35.974855
59.691219,14,36.008248
72.520369,20,36.056118
65.090519,15,36.091873
61.393671,16,36.130919
62.098346,16,36.170549
63.980103,16,36.209281
67.019616,17,36.276491
104.293606,26,36.337888
72.651559,18,36.385535
70.140453,19,36.431921
72.401133,18,36.476489
109.168983,26,36.540256
165.092542,33,36.621048
63.436213,15,36.657634
85.345038,22,36.710719
69.806654,17,36.752689
62.430183,15,36.788619
60.342316,14,36.822361
60.772591,15,36.856844
81.370645,20,36.908992
70.083672,18,36.951053
72.282266,19,37.003786
113.597546,25,37.069916
109.269428,25,37.135148
84.769233,20,37.186232
62.140143,16,37.228945
96.116408,24,37.289763
84.517534,21,37.341087
62.010111,15,37.375253
76.301508,19,37.421373
97.921856,23,37.482394
79.95385,20,37.532642
82.965211,22,37.586155
67.218819,17,37.627366
110.979369,25,37.689164
70.098952,17,37.73091
111.150249,26,37.794787
79.777237,20,37.844458
71.792962,19,37.896178
65.720134,16,37.934657
71.943216,18,37.983717
96.2037,24,38.048936
92.436107,22,38.101637
61.433081,15,38.138392
71.009444,17,38.180156
95.722017,24,38.238408
69.74191,18,38.282267
99.259464,23,38.337684
113.972371,25,38.399329
118.921337,27,38.465557
78.170575,20,38.516977
67.30416,19,38.563259
77.471058,21,38.617018
73.174743,18,38.663275
61.44111,14,38.697442
83.742186,21,38.748509
91.882599,23,38.805294
64.1443,17,38.847342
82.814816,21,38.898706
207.761227,42,39.010986
84.36507,21,39.067743
61.461984,17,39.113907
